"country","lat","lon","max_no2_aqi_value"
"Republic of Korea","37.5666791","126.9782914",91
"Algeria","36.7753606","3.0601882",69
"Peru","-11.9367735","-76.6969111",25
"Russian Federation","55.8036225","37.9646488",36
"United States of America","37.2395367","-107.82158179169292",53
"Chile","-33.2864213","-70.8729771",36
"Indonesia","-6.354225","106.2505031",63
"China","30.6598628","104.0633717",64
"Japan","35.3254614","136.5844619",26
"France","45.1437","5.71927",25
"India","27.8897862","78.7463761",43
"South Africa","-26.2124639","28.2617471",30
"Brazil","-23.9664177","-46.3861401",47
"Mexico","18.9218274","-99.2342282",26
"Malaysia","3.3197692","101.5773144",25
